id,oth,rol,dur,globPos,pa,pb,do,osb,osa,opb,opa,trans,simpl,size,ouais,oui,mh,laughter,dac,non,ok,ah,voila,mais,bon,et,nbouais,nbmh,phonSplit,prevSize,prevFirstTok,prevLastTok,prevFirstBi,prevLastBi,prevJe,prevTu,prevFeed,othSize,othFirstTok,othLastTok,othFirstBi,othLastBi,othJe,othTu,othFeed,gest,steepness,slope,NanRatio,f0min,f0max,f0stdev,span,height,duration,form1,form2,form3,aperiodAV,intQ1,intQ2,intQ3,intQ1raw,intQ2raw,intQ3raw,steepnessInterl,slopeInterl,NanRatioInterl,f0minInterl,f0maxInterl,f0stdevInterl,spanInterl,heightInterl,durationInterl,aperiodAVInterl,intQ1Interl,intQ2Interl,intQ3Interl,SimScore,TFcompared,contact,ack,evaluation,reponse,invitation,autre,local,global,aucune,contin,pivot,clot,assert,quest,feedback,essai,ordre,incomp,inint,approbation,desap,confirmation,doute,attendu,inattendu,amuse,gene,baseCat,evalCat
MTR_BLY_3_2360,BLX,G,0.419,0.0040904106,0.37,2.36,0,0,0,2.36,2.116,bon alors,complex,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,1,-,-,-,-,0,0,0,1,-,-,-,-,0,0,0,NoData,0.012521,0.027518,0.166667,-0.191389,0.727208,0.328914,0.918596,0.517995,0.18,541.969583,3174.630713,6495.940988,0.076114,-0.43983,1.312291,1.446049,68.288635,79.239213,80.075188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.25,0,0,0,0,0.75,0.75,0,0.25,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,autre,None
CID_AB_1_1554260,CM,-,0.12,0.4345954607,0,6.26,0,0,0,0.17,0.04,oui,oui,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4166666667,8,lourd,est,lourd_comme,'s''_est',0,0,0,1,-,-,-,-,0,0,0,NoData,0.001386,0.004545,0.648649,0.147148,0.642781,0.133816,0.495633,0.490586,0.12,265.268889,2418.78016,8706.263409,0.417112,-2.211369,0.414568,1.00176,50.662519,72.023169,76.799675,-0.00121,-0.00266,0.096386,-0.756685,-0.376469,0.1161,0.380216,-0.605228,0.18,67.162291,-0.537925,-0.234377,-0.151764,0.162744,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.3333333333,0,0,0,0,0,evaluation,approbation
MTR_MAX_8_247572,MAY,G,0.255,0.6599116695,1.167,1.882,0.241,0.77,0,0,0.409,euh ouais,complex,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,#,#,-,-,0,0,0,8,de,pirate,de_te,bateau_pirate,0,0,0,NoData,-0.041172,-0.064331,1.206897,-1.065749,2.148169,1.092572,3.213918,-0.242451,0.255,206.045551,909.760698,3797.845427,0.334856,-4.848155,-1.772157,0.042364,51.503916,65.71616,74.099915,0.006939,0.00628,1.009091,0.609575,1.603389,0.261127,0.993813,1.111745,0.441,51.145227,-4.457143,-2.880644,-0.676005,0.048111,0.070611,0,0,0.3333333333,0.6666666667,0,0,1,0,0,0,0,0,0,0.6666666667,0,0.3333333333,0,0,0,0,0,0.3333333333,0,0,0,0,0,reponse,None
MTR_VEX_1_214870,VEY,F,0.496,0.6240675075,5.126,8.279,0.496,4.583,0.475,0,0,mh mh,mh+,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.5443548387,1,-,-,-,-,0,0,0,1,-,-,-,-,0,0,0,NoData,0.004849,0.003895,0.020492,-0.607747,1.616989,0.52143,2.224735,-0.015137,0.496,232.688353,1805.946813,4669.385261,0.01439,-0.458385,0.10413,0.332716,61.695753,65.465555,66.997467,0.011404,0.010809,0.379085,-0.780277,1.888893,0.664651,2.66917,-0.421951,0.421,54.579293,-1.788645,-0.5791,-0.248499,0.006555,0.006915,0,1,0,0,0,0,1,0,0,0,0,0,0.6666666667,0,0,0,0.3333333333,0,0,0,0,0,0,0,0,0,0,ack,None
CID_SR_1_3742765,EB,-,0.9845,0.9762366554,3.08,31.4577765224,0.6534061436,0,2.53,0.8855,0,qu- ouais + ouais ouais,complex,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,12,donc,un,donc_ça,type_un,0,0,1,1,-,-,-,-,0,0,0,NoData,-0.002775,-0.001126,1.045643,-1.749341,2.94176,0.670292,4.691101,0.106444,0.9845,215.298082,8231.81939,NaN,0.42595,-2.615781,-0.965995,0.958636,53.187262,63.72443,76.017028,0.019534,0.076605,0.243902,0.028498,0.849201,0.278181,0.820702,0.093256,0.1,66.174559,-0.661328,-0.30761,0.097175,0.752322,1,0,0.3333333333,0.6666666667,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.6666666667,0,0,0,0,0,0,0,evaluation,approbation
CID_NH_1_1186940,LL,-,0.1708,0.3951055959,6.1431,1.7448,0.1708,1.23,0.2733259772,0,0,ouais,ouais,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7025761124,1,#,#,-,-,0,0,0,6,'c''',placer,'c''_est',le_placer,0,0,0,NoData,-0.008598,-0.019995,0.283582,-0.040236,0.724715,0.172173,0.764951,0.269694,0.1708,295.574228,1473.580991,8922.300204,0.171587,-0.722722,-0.186074,0.020501,60.439938,63.813346,65.111898,-0.232371,-0.829898,3.666667,-2.512816,0.717967,1.41036,3.230782,-2.462616,0.11,47.170664,-4.716298,-1.723988,-1.098519,0.673916,1,0,0,1,0,0,0,1,0,0,0.1428571429,0,0,0.8571428571,0,0,0,0,0.1428571429,0,0.8571428571,0,0.2857142857,0,0.1428571429,0,0,0,evaluation,approbation
CID_AB_1_1318160,CM,-,0.63,0.3685781996,0.66,2.01,0.48,4.08,0,0,0.7503,'oui c'' est vrai',complex,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-,-,-,-,0,0,0,1,ouais,ouais,-,-,0,0,1,NoData,-0.000888,-0.001776,0.204819,0.07624,0.557716,0.083592,0.481476,0.131847,0.2,217.274703,2133.348779,8204.200389,0.129802,-0.476945,-0.234693,-0.048401,64.771168,66.741758,68.257154,0.009436,0.023298,0.065789,-0.342388,0.367947,0.236086,0.710335,0.249662,0.16,65.818576,-0.740211,-0.47438,-0.419888,0.97809,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,evaluation,approbation
CID_YM_1_1807704,AG,-,0.44,0.5056594308,0,6.0443,0.44,3.6753,0.1561,0,0,ah ouais,complex,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,1,#,#,-,-,0,0,0,1,-,-,-,-,0,0,0,NoData,-0.001652,-0.001495,1.104762,-0.709046,0.172703,0.191507,0.881749,-0.067435,0.44,180.754376,NaN,NaN,0.34937,-0.794761,-0.045137,0.264485,66.070838,71.000485,73.036605,-0.001563,-0.001942,0.025478,-0.062281,0.670072,0.137822,0.732353,0.415078,0.32,59.082081,-1.302521,-1.123266,-1.024171,0.804235,1,0,0.6666666667,0.3333333333,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333333,0,0,ack,None
CID_AB_1_3100560,CM,-,0.77,0.8669651806,2.603,1.26,0.7427,0,1.6797032174,0.97,0,ah oui vraiment,complex,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,ouais,ouais,-,-,0,0,1,8,oui,en_fait,'oui_j''',aller_en_fait,0,0,1,NoData,-0.002171,-0.002783,0.04698,-0.001362,0.669185,0.144052,0.670547,0.576129,0.31,288.719344,1837.81237,7502.301505,0.044699,-0.331627,-0.221013,0.195802,65.953252,66.853042,70.243621,0.001078,0.001943,0.027778,0.396379,1.045994,0.163373,0.649615,0.454336,0.22,65.451052,-0.528478,-0.319696,-0.149857,0.963114,1,0,0,0.3333333333,0,0,0.3333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333,0,0.3333333333,0,0,0,0,0,None,None
CID_YM_1_1882350,AG,-,0.823,0.5265396722,0.931916387,0.7,0.823,1.9022,2.4712208413,0,0,oui euh,complex,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,#,#,-,-,0,0,0,5,ouais,il,ouais_et,ouais_il,0,0,3,NoData,0.003797,0.001843,2.850467,-0.332585,1.348517,0.594984,1.681101,-0.089886,0.823,210.521428,3533.248501,7726.95716,0.390149,-2.637996,-1.154515,-0.092721,53.949445,63.70504,70.687563,-0.004015,-0.013163,0.033898,-0.63669,-0.259204,0.117298,0.377486,-0.420782,0.12,67.785979,-0.295504,0.181243,0.70192,0.715889,1,0,0.6666666667,0.3333333333,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3333333333,0,0,0,0,0,ack,None
