"","slope","feedback","intQ1raw","ordre","othSize","essai","prevSize","laugh","osa","prevRed","prevNbJe","nbouais","size","sess","span","mais","intQ2raw","f0max","pb","start","pa","f0stdev","voila","dur","NanRatio","do","non","dac","durationInterl","intQ2Interl","assert","f0min","opa","opb","height","intQ1Interl","mh","othNbJe","slopeInterl","form2","form1","nbmh","prevNbFeedback","f0maxInterl","oui","NanRatioInterl","ah","intQ3Interl","f0minInterl","spk","duration","et","intQ3raw","id","form3","incomp","osb","intQ1","intQ3","intQ2","posDial","f0stdevInterl","othNbFeedback","aperiodAV","prevNbTu","heightInterl","phonSplit","spanInterl","ouais","othNbTu","ok","steepnessInterl","ndo","steepness","quest","bon","sa","othRed"
"3193",-0.013143,0,64.073995,0,3,0,1,0,0,0,0,0,1,1,0.719367,0,65.757396,0.14689,19.59,873.43,0,0.201643,0,0.21,0.081633,0,0,0,0.704031554958592,-1.09003601458446,0.714285714,-0.572477,2.158,2.230246947,-0.290664,-2.8129112569057,0,0,0.0074022873600036,3022.416929,268.669308,0,0,0.746088500417361,1,7.46118475244348,0,-0.70929343395622,-0.712560885496997,"NH",0.21,0,67.341859,"CID_NH_1_873430",7979.27699776561,0.285714286,0,-0.14461,0.375248,0.123188,0.290745177,0.68317755427568,0,0.030887,0,-0.300908642277379,0.333333333,2.39621234099185,0,0,0,-0.0160360761373659,0,-0.006966,0,0,0.7434,0
"3194",3.1e-05,0,60.116504,0,15,0,1,0,0,0,0,1,3,1,1.489386,0,64.125735,0.548602,13.5866,887.97,0,0.320669,0,1.1,0.113131,0,0,0,0.16,-1.259451,1,-0.940785,8.87,1.69,-0.117302,-1.485409,0,0,-0.000761,8231.949448,248.005691,0,0,0.635372,0,0.025316,0,-1.103649,0.198452,"NH",1.1,0,67.197072,"CID_NH_1_887970",10099.175345831,0,0,-0.774174,0.352215,-0.136379,0.295585216,0.113994,0,0.120296,0,0.268921,-1,0.43692,1,0,0,-0.000308,0,8.4e-05,0,0,1.4,0
"3195",-0.013273,0.666666667,52.310306,0,1,0,1,0,3.0095,0,0,1,4,1,1.586119,0,67.221352,1.94827,6.2239,1014.4039,3.3878,0.431774,0,0.5666,1.470588,0.2405,0,0,0.430749901596692,-0.634221628618659,0.333333333,0.362151,0,2.392124748,1.586722,-2.56497414549785,0,0,0.0860396757447905,8456.853291,153.337644,0,0,1.19345773553053,0,-10.1791561830464,0,0.991045718114843,-4.50933526688361,"SR",0.25,0,72.013552,"CID_SR_1_1014403.9",10506.8237284713,0,0,-2.753085,0.331819,-0.418488,0.264589986,1.73549922356014,1,0.48057,0,-0.72336647224224,-1,5.44319657090464,1,0,0,0.0557664835238924,0.424461701,-0.008362,0,0,0,0
"3196",-0.000516,0,47.756012,0,1,0,1,1,0,0,0,0,3,1,5.464789,0,54.674435,3.553512,15.23274459,1051.6727,0.3,1.023791,0,2.167255406,2.637555,0.093355406,0,0,0.328,-3.064765,1,-1.911277,-1.847516307,0,2.488423,-3.668167,0,0,-0.006248,11424.6882086271,8233.426143,0,0,0.02524,0,3.342105,0,-1.217737,-0.212682,"SR",1.6647,0,62.317912,"CID_SR_1_1051672.7",10861.0489084274,0,1.914644594,-3.466143,-1.186211,-2.382937,0.274310929,0.065148,0,0.680922,0,-0.092923,-1,0.237922,0,0,0,-0.005154,0.043075406,-0.002147,0,0,0,0
"3197",-0.002679,0,43.39479,0,7,0,7,0,0,0,0,0,1,1,1.398307,0,67.388344,1.678874,3.23,1084.26,0,0.427059,0,0.35,1.011494,0,0,0,0.28,-0.42722,0.666666667,0.280567,3.7196,0.51,1.221209,-3.06844,0,0,-0.058417,2662.715791,224.792703,0,0,7.179867,1,0.5,0,-0.007458,0.223938,"SR",0.35,0,75.659472,"CID_SR_1_1084260",5411.85825010009,0,0,-4.148972,0.902654,-0.392342,0.28281076,1.723094,0,0.636149,0,1.179769,0.228571429,6.955928,0,0,0,-0.041184,0,-0.002344,0.333333333,0,0.64,0
"3198",-0.00377,0,65.708864,0,1,0,16,0,0,0,0,1,1,1,0.6006,0,72.520251,0.544843,1.9791,1093.71,21.6015,0.124027,0,0.2521,0.27,0.02,0,0,0.33,-0.838002,0.666666667,-0.055757,0.1987,0,0.138843,-1.97954,0,0,-0.008904,1670.380131,310.374984,0,0,0.777407,0,1.441176,0,-0.125417,-0.275865,"SR",0.2521,0,75.063762,"CID_SR_1_1093710",8293.480546,0,1.85,-0.655296,0.809385,0.411152,0.285275632,0.366814,0,0.120601,3,0.074042,0.595001983,1.053273,1,0,0,-0.00739,0.079333598,-0.002394,0.333333333,0,0,0
"3199",-6e-06,0,40.828469,0,1,0,1,1,0,0,0,0,7,1,6.380761,1,47.395097,4.18937,6.055198642,11.0452,0,1.050543,0,6.384801358,2.649143,2.834801358,1,0,0.870655826419177,-0.261483185527071,1,-2.191391,-2.7834,0,1.282443,-0.172739891584799,0,0,0.181374089746554,10872.9599609661,8203.208242,0,0,1.13784789660488,0,-6.42339012190175,0,1.07689657236728,-3.54509118366504,"SR",6.3848,0,59.494596,"CID_SR_1_11045.2",9496.75822481999,0,0.095598642,-4.550776,-1.628253,-3.52265,0.002880952,0.779314864628628,0,0.692676,0,-0.313352309538492,-1,4.03263472639825,0,0,0,0.0349963419460475,0.443992099,-9.7e-05,0,0,5.0997,0
"3200",-0.03236,0,61.591932,0,6,0,1,0,0,0,0,1,1,1,1.299752,0,68.879168,0.651872,21.6015,1115.5636,22.0211,0.339153,0,0.2052,0.492754,0,0,0,0.2197,-2.996769,1,-0.64788,1.8512,0.2939,-0.020535,-3.839498,0,0,-0.028251,2001.67825,242.59998,0,0,-0.40014,0,4.238095,0,-0.861864,-0.721757,"SR",0.2052,0,70.460994,"CID_SR_1_1115563.6",4606.567649,0,0,-1.299877,0.088737,-0.158927,0.290975771,0.099416,0,0.26039,0,-0.610691,0.584795322,0.321617,1,0,0,-0.015538,0,-0.016665,0,0,0,0
"3201",-0.005379,0,69.557374,0,1,0,1,0,1.3582,0,0,1,1,1,1.101077,0,73.10734,0.958709,22.0211,1137.7899,13.1682,0.201725,0,0.2919,0.057971,0.2919,0,0,0.43,0.860892,1,-0.142367,0,0,0.543158,-1.731864,0,0,-0.007918,1953.607403,350.347081,0,0,0.752019,0,0.459459,0,1.246195,-0.393963,"SR",0.2919,0,76.693678,"CID_SR_1_1137789.9",8305.397922,0,2.5377,-0.052741,1.064578,0.503071,0.296773123,0.398285,0,0.054495,0,0.279748,0.479616307,1.145982,1,0,0,-0.008551,1,-0.003927,0,0,0,0
"3202",-0.001291,0,71.594996,0,1,0,1,0,0.42,0,0,0,2,1,1.312361,0,75.934084,1.644595,13.1682,1151.25,0.49,0.266496,0,0.49,0.0837,0.49,0,0,0.11,-1.228821,1,0.332234,0,0,1.403106,-2.522424,0,0,-0.020795,1567.530221,192.955835,0,0,0.998319,1,1.333333,1,-0.433328,0.123239,"SR",0.49,0,77.26102,"CID_SR_1_1151250",5109.499341,0,0.4296,0.266286,1.153406,0.945649,0.300283961,0.192533,0,0.053244,0,0.305503,-1,0.87508,0,0,0,-0.005823,1,-0.001588,0,0,0,0
